StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Website,Enter Embedded Data Field Name Here...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Using Optional4J improves the quality of the code I write.,Using Optional4J gives me greater control over my code.,Optional4J enables me to write code more quickly.,Optional4J supports critical aspects of my code.,Using Optional4J increases my productivity.,Using Optional4J improves my software development performance.,Using Optional4J allows me to write more code than would otherwise be possible.,Using Optional4J enhances my effectiveness in software development.,Using Optional4J makes it easier to write code.,"Overall, I find Optional4J useful for software development.",I find Optional4J cumbersome to use.,Learning the Optional4J tool is easy for me.,Interacting with Optional4J is often frustrating.,I find it easy to get the Optional4J tool to do what I want it to do.,The Optional4J tool is rigid and inflexible to interact with.,It is easy for me to remember how to code for null using Optional4J.,Interacting with the Optional4J tool requires a lot of mental effort.,My interaction with the Optional4J tool is clear and understandable.,I find it takes a lot of effort to become skillful using Optional4J.,"Overall, I find the Optional4J tool easy to use.",Website,Enter Embedded Data Field Name Here...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1211890895""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID103""}","{""ImportId"":""QID102""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID114""}","{""ImportId"":""QID113""}","{""ImportId"":""QID112""}","{""ImportId"":""QID111""}","{""ImportId"":""QID117""}","{""ImportId"":""QID116""}","{""ImportId"":""QID115""}","{""ImportId"":""Website""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}"
2022-05-19 07:54:58,2022-05-19 07:56:16,0,*.*.*.*,100,78,1,2022-05-19 07:56:16,*,,,,,*,*,anonymous,EN,0.8999999761581421,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:56:40,2022-05-19 08:09:00,0,*.*.*.*,100,740,1,2022-05-19 08:09:00,*,,,,,*,*,anonymous,EN,0.8999999761581421,6,3,2,2,2,2,3,2,1,2,4,1,5,1,4,1,5,1,4,1,,
2022-05-24 08:36:39,2022-05-24 08:38:36,0,*.*.*.*,100,116,1,2022-05-24 08:38:36,*,,,,,*,*,anonymous,EN,1,7,2,2,3,2,2,2,2,2,2,5,2,5,2,4,2,4,4,4,2,,
2022-05-24 08:31:25,2022-05-24 09:02:45,0,*.*.*.*,100,1880,1,2022-05-24 09:02:46,*,,,,,*,*,anonymous,EN,1,6,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,4,2,4,2,,
2022-05-24 09:24:18,2022-05-24 09:26:07,0,*.*.*.*,100,108,1,2022-05-24 09:26:08,*,,,,,*,*,anonymous,EN,1,7,2,1,1,3,1,5,2,2,2,4,3,3,2,3,2,4,2,3,2,,
2022-05-24 09:58:30,2022-05-24 09:58:58,0,*.*.*.*,100,27,1,2022-05-24 09:58:58,*,,,,,*,*,anonymous,EN,1,6,,1,,1,,,,,,,,,,,,,,,,,
2022-05-24 11:09:53,2022-05-24 11:12:50,0,*.*.*.*,100,177,1,2022-05-24 11:12:51,*,,,,,*,*,anonymous,EN,1,7,3,1,2,1,1,2,1,1,1,4,2,3,2,2,2,3,2,2,2,,
2022-05-24 13:17:07,2022-05-24 13:19:21,0,*.*.*.*,100,134,1,2022-05-24 13:19:21,*,,,,,*,*,anonymous,EN,1,7,2,3,1,2,2,3,2,3,2,4,2,3,3,4,2,4,2,4,2,,
2022-05-25 07:27:56,2022-05-26 07:09:29,0,*.*.*.*,100,85293,1,2022-05-26 07:09:29,*,,,,,*,*,anonymous,EN,1,7,3,2,2,3,2,4,2,3,2,4,2,4,2,4,2,5,2,5,2,,
2022-05-25 11:02:18,2022-05-26 11:49:56,0,*.*.*.*,100,89258,1,2022-05-26 11:49:57,*,,,,,*,*,anonymous,EN,0.8999999761581421,6,2,1,1,1,2,3,1,2,1,4,2,4,1,5,1,4,2,4,1,,
2022-05-26 11:48:22,2022-05-26 11:52:55,0,*.*.*.*,100,272,1,2022-05-26 11:52:55,*,,,,,*,*,anonymous,EN,1,6,1,3,2,3,3,4,2,3,1,4,1,5,2,5,1,3,1,3,2,,
2022-05-26 12:23:40,2022-05-26 12:25:21,0,*.*.*.*,100,100,1,2022-05-26 12:25:22,*,,,,,*,*,anonymous,EN,1,6,1,2,1,2,2,2,2,1,1,5,2,5,1,5,1,5,1,5,1,,
2022-06-14 14:29:01,2022-06-14 14:30:52,0,*.*.*.*,100,111,1,2022-06-14 14:30:53,*,,,,,*,*,anonymous,EN,1,6,1,2,1,2,1,2,2,2,1,5,1,4,3,4,2,4,4,5,1,,
2022-06-14 14:27:13,2022-06-14 14:34:25,0,*.*.*.*,100,431,1,2022-06-14 14:34:25,*,,,,,*,*,anonymous,EN,1,6,2,1,2,1,2,3,2,1,1,3,2,4,3,3,2,3,2,3,1,,
2022-06-14 15:10:00,2022-06-14 15:12:12,0,*.*.*.*,100,131,1,2022-06-14 15:12:12,*,,,,,*,*,anonymous,EN,1,6,1,1,1,1,1,1,1,1,1,2,2,4,2,4,2,4,2,2,2,,
